"Timestamp","Qual sua faixa etária?","Qual período você está cursando atualmente? ","Você participa de algum laboratório, projeto de pesquisa ou atividade de extensão na universidade? ","Trabalha no contraturno das aulas? ","As dificuldades financeiras afetam minha vida acadêmica. ","Me sinto acolhido(a) por professores e monitores quando tenho dúvidas.","Considero o meio acadêmico do qual faço parte acolhedor. ","Como você avalia a infraestrutura do prédio de computação? ","Consigo acompanhar a maioria dos conteúdos ministrados em sala de aula atualmente. ","Estou satisfeito(a) com a qualidade das aulas ministradas pela maioria dos professores. ","Já experienciei ansiedade, estresse intenso ou esgotamento em decorrência das demandas acadêmicas. ","Já trancou cadeiras por não acompanhar o conteúdo? ","Considera trocar de curso? ","Me sinto preparado(a) para atuar no mercado de trabalho com o que aprendo na graduação.","Já tenho clareza sobre a área da Engenharia da Computação em que quero atuar profissionalmente. ","Como você avalia a grade currilar vigente? ","Você conhece as oportunidades de iniciação científica, monitoria ou laboratórios oferecidas pela universidade? ","Você atende aos requisitos necessários para participar de projetos de iniciação científica (CR acima de 7.0 e disciplinas pagas em caso de reprovação)?","A participação em laboratórios ou projetos de pesquisa ajuda (ou ajudaria) a compreender melhor os conteúdos das disciplinas. ","Qual o tipo de atividade que você realiza atualmente?","Qual a sua participação em relação às atividades citadas acima?","A atividade que desenvolvo no projeto contribui para a minha formação profissional.","Recebo orientação adequada do meu professor orientador.","Sinto que não tenho tempo suficiente para conciliar as disciplinas regulares, a atividade no laboratório/projeto e minha vida pessoal.","O reconhecimento (formal ou informal) pelo meu trabalho no laboratório/projeto contribuiu para minha motivação no curso.","Sua participação em projeto(s) já resultou em alguma produção acadêmica (artigo, resumo, apresentação em evento, etc.)?","Já pensei em desistir da atividade de laboratório/extensão por excesso de demandas acadêmicas."
"2026/04/09 1:02:16 PM GMT-3","Menos de 18 anos","3º","Sim","Não","Nem concordo nem discordo","Concordo parcialmente","Concordo parcialmente","Muito boa","Concordo parcialmente","Concordo parcialmente","Concordo totalmente","Não","Não","Discordo parcialmente","Discordo parcialmente","Neutro","Sim","Não","Concordo parcialmente","Laboratório","Voluntário","Concordo totalmente","Concordo parcialmente","Concordo totalmente","Concordo totalmente","Não","Concordo parcialmente"
"2026/04/09 1:05:40 PM GMT-3","18 - 21 anos","4º","Sim","Não","Discordo parcialmente","Discordo parcialmente","Discordo parcialmente","Boa","Discordo parcialmente","Discordo parcialmente","Concordo totalmente","Sim","Sim","Concordo parcialmente","Concordo parcialmente","Ruim","Sim","Sim","Concordo parcialmente","Iniciação Científica","Voluntário","Discordo parcialmente","Concordo totalmente","Concordo parcialmente","Concordo parcialmente","Sim","Concordo totalmente"
"2026/04/09 1:06:58 PM GMT-3","18 - 21 anos","4º","Sim","Não","Nem concordo nem discordo","Concordo parcialmente","Concordo parcialmente","Boa","Concordo parcialmente","Nem concordo nem discordo","Concordo totalmente","Não","Não","Nem concordo nem discordo","Concordo parcialmente","Ruim","Sim","Sim","Concordo totalmente","Laboratório","Voluntário","Concordo totalmente","Concordo parcialmente","Concordo parcialmente","Concordo parcialmente","Não","Nem concordo nem discordo"
"2026/04/09 1:14:04 PM GMT-3","18 - 21 anos","7º","Não","Não","Discordo parcialmente","Concordo parcialmente","Nem concordo nem discordo","Neutro","Discordo parcialmente","Discordo totalmente","Concordo totalmente","Não","Sim","Discordo totalmente","Discordo totalmente","Boa","Sim","Não","Concordo parcialmente","Nenhum","Não se aplica à minha atividade","Nem concordo nem discordo","Nem concordo nem discordo","Nem concordo nem discordo","Nem concordo nem discordo","Não","Nem concordo nem discordo"
"2026/04/09 1:51:20 PM GMT-3","18 - 21 anos","2º","Não","Não","Concordo parcialmente","Concordo parcialmente","Concordo parcialmente","Boa","Concordo totalmente","Concordo totalmente","Nem concordo nem discordo","Não","Não","Discordo parcialmente","Discordo totalmente","Boa","Sim","Sim","Nem concordo nem discordo","Nenhum","Não se aplica à minha atividade","Nem concordo nem discordo","Nem concordo nem discordo","Nem concordo nem discordo","Nem concordo nem discordo","Não","Nem concordo nem discordo"
"2026/04/09 1:52:43 PM GMT-3","18 - 21 anos","2º","Não","Não","Nem concordo nem discordo","Concordo totalmente","Concordo totalmente","Muito boa","Concordo totalmente","Concordo parcialmente","Concordo parcialmente","Não","Não","Nem concordo nem discordo","Concordo totalmente","Boa","Sim","Sim","Concordo totalmente","Nenhum","Não se aplica à minha atividade","Nem concordo nem discordo","Nem concordo nem discordo","Nem concordo nem discordo","Nem concordo nem discordo","Não","Nem concordo nem discordo"
"2026/04/09 1:52:56 PM GMT-3","18 - 21 anos","4º","Sim","Não","Concordo parcialmente","Nem concordo nem discordo","Nem concordo nem discordo","Boa","Discordo totalmente","Discordo parcialmente","Concordo parcialmente","Sim","Não","Discordo parcialmente","Concordo parcialmente","Muito ruim","Sim","Sim","Concordo totalmente","Laboratório","Voluntário","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo parcialmente","Sim","Concordo parcialmente"
"2026/04/09 2:00:29 PM GMT-3","18 - 21 anos","7º","Sim","Não","Discordo parcialmente","Concordo parcialmente","Concordo totalmente","Neutro","Discordo totalmente","Nem concordo nem discordo","Nem concordo nem discordo","Sim","Não","Nem concordo nem discordo","Concordo parcialmente","Neutro","Sim","Não","Concordo totalmente","Iniciação Científica","Bolsista","Concordo parcialmente","Concordo totalmente","Nem concordo nem discordo","Concordo totalmente","Sim","Nem concordo nem discordo"
"2026/04/09 3:40:57 PM GMT-3","22 - 25 anos","Concluindo cadeiras pendentes ou TCC (acima do intervalo de 10 períodos)","Sim","Não","Discordo parcialmente","Nem concordo nem discordo","Nem concordo nem discordo","Boa","Concordo parcialmente","Concordo parcialmente","Concordo parcialmente","Sim","Não","Discordo parcialmente","Concordo parcialmente","Boa","Sim","Sim","Concordo totalmente","Iniciação Científica;Laboratório;Estágio (pela Universidade)","Voluntário","Concordo totalmente","Concordo totalmente","Discordo totalmente","Concordo parcialmente","Sim","Discordo totalmente"
"2026/04/09 3:44:10 PM GMT-3","22 - 25 anos","Concluindo cadeiras pendentes ou TCC (acima do intervalo de 10 períodos)","Não","Sim","Concordo parcialmente","Nem concordo nem discordo","Nem concordo nem discordo","Neutro","Discordo parcialmente","Nem concordo nem discordo","Concordo totalmente","Sim","Não","Nem concordo nem discordo","Concordo totalmente","Ruim","Sim","Não","Nem concordo nem discordo","Não se aplica","Não se aplica à minha atividade","Nem concordo nem discordo","Nem concordo nem discordo","Nem concordo nem discordo","Nem concordo nem discordo","Não","Nem concordo nem discordo"
"2026/04/09 3:47:27 PM GMT-3","Mais de 30 anos","Concluindo cadeiras pendentes ou TCC (acima do intervalo de 10 períodos)","Não","Sim","Concordo totalmente","Nem concordo nem discordo","Discordo parcialmente","Muito boa","Discordo totalmente","Concordo totalmente","Concordo totalmente","Não","Não","Concordo totalmente","Concordo parcialmente","Neutro","Sim","Não","Concordo totalmente","Trabalho remoto","Não se aplica à minha atividade","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Não","Nem concordo nem discordo"
"2026/04/10 10:22:16 AM GMT-3","Mais de 30 anos","Concluindo cadeiras pendentes ou TCC (acima do intervalo de 10 períodos)","Sim","Não","Concordo totalmente","Concordo totalmente","Concordo totalmente","Neutro","Concordo totalmente","Concordo totalmente","Discordo totalmente","Não","Não","Concordo parcialmente","Concordo totalmente","Neutro","Sim","Sim","Concordo totalmente","Estágio (pela Universidade)","Bolsista","Concordo totalmente","Concordo totalmente","Discordo totalmente","Concordo totalmente","Não","Discordo totalmente"
"2026/04/10 10:23:22 AM GMT-3","Mais de 30 anos","10º","Sim","Sim","Concordo totalmente","Concordo parcialmente","Concordo parcialmente","Neutro","Discordo parcialmente","Nem concordo nem discordo","Concordo totalmente","Sim","Não","Nem concordo nem discordo","Discordo parcialmente","Neutro","Sim","Sim","Concordo parcialmente","Laboratório","Voluntário","Concordo parcialmente","Concordo parcialmente","Concordo totalmente","Concordo parcialmente","Sim","Concordo parcialmente"
"2026/04/15 8:21:55 AM GMT-3","18 - 21 anos","5º","Sim","Não","Concordo parcialmente","Concordo totalmente","Concordo parcialmente","Boa","Concordo parcialmente","Concordo totalmente","Concordo parcialmente","Sim","Não","Nem concordo nem discordo","Discordo parcialmente","Boa","Sim","Não","Concordo parcialmente","Projeto de Extensão","Voluntário","Concordo parcialmente","Concordo parcialmente","Nem concordo nem discordo","Concordo parcialmente","Sim","Nem concordo nem discordo"
"2026/04/16 9:15:31 AM GMT-3","Mais de 30 anos","7º","Não","Não","Concordo parcialmente","Concordo parcialmente","Concordo parcialmente","Boa","Concordo parcialmente","Concordo totalmente","Concordo parcialmente","Sim","Não","Concordo parcialmente","Concordo parcialmente","Boa","Sim","Não","Discordo parcialmente","Laboratório","Voluntário","Concordo parcialmente","Nem concordo nem discordo","Nem concordo nem discordo","Nem concordo nem discordo","Sim","Nem concordo nem discordo"
"2026/04/16 9:17:29 AM GMT-3","18 - 21 anos","8º","Sim","Sim","Concordo totalmente","Concordo totalmente","Concordo parcialmente","Neutro","Concordo parcialmente","Nem concordo nem discordo","Concordo totalmente","Sim","Sim","Concordo parcialmente","Concordo parcialmente","Boa","Sim","Não","Concordo totalmente","Laboratório;Estágio (pela Universidade)","Bolsista","Concordo totalmente","Concordo totalmente","Discordo parcialmente","Concordo totalmente","Sim","Concordo parcialmente"
"2026/04/16 9:19:25 AM GMT-3","26 - 30 anos","1º","Não","Não","Concordo totalmente","Nem concordo nem discordo","Concordo parcialmente","Boa","Discordo totalmente","Nem concordo nem discordo","Nem concordo nem discordo","Sim","Sim","Nem concordo nem discordo","Nem concordo nem discordo","Neutro","Não","Não","Nem concordo nem discordo","Iniciação Científica","Não se aplica à minha atividade","Nem concordo nem discordo","Nem concordo nem discordo","Concordo totalmente","Nem concordo nem discordo","Não","Concordo totalmente"
"2026/04/16 9:20:37 AM GMT-3","18 - 21 anos","4º","Sim","Não","Discordo totalmente","Discordo parcialmente","Concordo parcialmente","Boa","Concordo parcialmente","Discordo parcialmente","Concordo parcialmente","Sim","Não","Concordo parcialmente","Concordo parcialmente","Boa","Sim","Sim","Concordo parcialmente","Projeto de Extensão","Voluntário","Concordo parcialmente","Concordo totalmente","Concordo parcialmente","Concordo parcialmente","Sim","Concordo parcialmente"
"2026/04/16 9:22:05 AM GMT-3","22 - 25 anos","Concluindo cadeiras pendentes ou TCC (acima do intervalo de 10 períodos)","Não","Sim","Nem concordo nem discordo","Nem concordo nem discordo","Discordo parcialmente","Boa","Nem concordo nem discordo","Nem concordo nem discordo","Concordo totalmente","Sim","Não","Concordo parcialmente","Concordo totalmente","Neutro","Sim","Sim","Concordo parcialmente","Estágio Externo à Universidade. (Resposta devido obrigatoriedade desta seção, sem opção predefinida equivalente a não participação.)","Não se aplica à minha atividade","Concordo parcialmente","Nem concordo nem discordo","Nem concordo nem discordo","Nem concordo nem discordo","Não","Concordo parcialmente"
"2026/04/16 9:23:32 AM GMT-3","18 - 21 anos","6º","Sim","Não","Discordo parcialmente","Concordo parcialmente","Concordo parcialmente","Boa","Nem concordo nem discordo","Nem concordo nem discordo","Concordo parcialmente","Não","Não","Discordo parcialmente","Discordo parcialmente","Ruim","Sim","Sim","Concordo totalmente","Laboratório","Não se aplica à minha atividade","Concordo parcialmente","Concordo parcialmente","Concordo totalmente","Nem concordo nem discordo","Não","Concordo totalmente"
"2026/04/16 9:24:07 AM GMT-3","18 - 21 anos","5º","Não","Não","Concordo parcialmente","Concordo parcialmente","Discordo parcialmente","Neutro","Concordo totalmente","Concordo parcialmente","Concordo totalmente","Não","Sim","Discordo parcialmente","Discordo parcialmente","Ruim","Sim","Não","Concordo totalmente","Trabalho informal","Não se aplica à minha atividade","Nem concordo nem discordo","Nem concordo nem discordo","Nem concordo nem discordo","Nem concordo nem discordo","Não","Nem concordo nem discordo"
"2026/04/16 9:33:41 AM GMT-3","18 - 21 anos","5º","Sim","Não","Nem concordo nem discordo","Concordo parcialmente","Concordo parcialmente","Muito boa","Concordo parcialmente","Nem concordo nem discordo","Concordo totalmente","Não","Não","Concordo totalmente","Concordo totalmente","Boa","Sim","Sim","Concordo totalmente","Iniciação Científica","Bolsista","Concordo totalmente","Concordo totalmente","Nem concordo nem discordo","Concordo parcialmente","Sim","Concordo parcialmente"
"2026/04/16 9:40:00 AM GMT-3","18 - 21 anos","6º","Sim","Não","Discordo totalmente","Concordo parcialmente","Nem concordo nem discordo","Neutro","Discordo parcialmente","Nem concordo nem discordo","Concordo totalmente","Não","Sim","Discordo totalmente","Discordo totalmente","Ruim","Não","Sim","Concordo parcialmente","Laboratório","Bolsista","Concordo parcialmente","Nem concordo nem discordo","Concordo parcialmente","Concordo parcialmente","Sim","Concordo totalmente"
"2026/04/16 9:54:31 AM GMT-3","18 - 21 anos","1º","Não","Não","Concordo totalmente","Concordo totalmente","Concordo totalmente","Boa","Concordo parcialmente","Concordo totalmente","Concordo parcialmente","Não","Não","Concordo parcialmente","Nem concordo nem discordo","Neutro","Sim","Não","Concordo totalmente","nenhuma","Não se aplica à minha atividade","Concordo parcialmente","Concordo parcialmente","Nem concordo nem discordo","Concordo parcialmente","Não","Discordo parcialmente"
"2026/04/16 9:59:22 AM GMT-3","22 - 25 anos","7º","Sim","Sim","Discordo totalmente","Concordo totalmente","Concordo parcialmente","Neutro","Concordo parcialmente","Concordo totalmente","Concordo totalmente","Não","Não","Nem concordo nem discordo","Concordo parcialmente","Boa","Sim","Sim","Concordo totalmente","Iniciação Científica;Laboratório;","Bolsista","Concordo totalmente","Concordo totalmente","Concordo parcialmente","Concordo totalmente","Sim","Nem concordo nem discordo"
"2026/04/16 10:03:54 AM GMT-3","18 - 21 anos","1º","Não","Não","Concordo parcialmente","Concordo parcialmente","Concordo totalmente","Boa","Discordo parcialmente","Concordo parcialmente","Concordo totalmente","Não","Não","Concordo totalmente","Nem concordo nem discordo","Neutro","Sim","Não","Concordo parcialmente","Estudo","Não se aplica à minha atividade","Nem concordo nem discordo","Nem concordo nem discordo","Nem concordo nem discordo","Concordo parcialmente","Não","Nem concordo nem discordo"
"2026/04/16 10:37:07 AM GMT-3","18 - 21 anos","2º","Não","Não","Concordo parcialmente","Concordo parcialmente","Concordo parcialmente","Ruim","Discordo parcialmente","Discordo parcialmente","Concordo totalmente","Não","Sim","Concordo parcialmente","Nem concordo nem discordo","Neutro","Não","Sim","Concordo totalmente","Estudo somente","Não se aplica à minha atividade","Nem concordo nem discordo","Nem concordo nem discordo","Nem concordo nem discordo","Nem concordo nem discordo","Não","Nem concordo nem discordo"
"2026/04/16 11:10:59 AM GMT-3","26 - 30 anos","Concluindo cadeiras pendentes ou TCC (acima do intervalo de 10 períodos)","Não","Sim","Concordo parcialmente","Concordo parcialmente","Concordo parcialmente","Neutro","Concordo parcialmente","Concordo parcialmente","Concordo totalmente","Sim","Não","Concordo totalmente","Concordo totalmente","Muito boa","Sim","Não","Concordo totalmente","Trabalho Remunerado","Não se aplica à minha atividade","Concordo parcialmente","Concordo parcialmente","Concordo totalmente","Concordo totalmente","Não","Nem concordo nem discordo"
"2026/04/16 9:37:48 PM GMT-3","18 - 21 anos","7º","Sim","Sim","Concordo totalmente","Concordo parcialmente","Nem concordo nem discordo","Neutro","Discordo parcialmente","Discordo parcialmente","Concordo totalmente","Sim","Não","Nem concordo nem discordo","Concordo totalmente","Neutro","Sim","Sim","Nem concordo nem discordo","Laboratório","Voluntário","Concordo totalmente","Concordo parcialmente","Concordo totalmente","Concordo parcialmente","Sim","Concordo totalmente"
